n,N,reps,n_fail
2729355498,66,100000,1
15142,72,100000,15585
211963697,19,100000,0
1052,79,100000,94988
50091295,94,100000,7
1066,5,100000,971
109,73,100000,100000
560614,55,100000,242
4011,29,100000,9628
10047,61,100000,16532
430,4,100000,1381
82473,50,100000,1485
1157,32,100000,34852
1577,38,100000,36161
33403,86,100000,10305
92952683,41,100000,1
904,13,100000,8338
715007883,46,100000,0
9055515,5,100000,0
712,7,100000,2956
38674,11,100000,144
338,33,100000,80035
7839047,31,100000,4
49069572,37,100000,3
203,13,100000,32414
9853,36,100000,6152
900,52,100000,77798
138,49,100000,99996
18627852,58,100000,11
10945,22,100000,2069
166,29,100000,92614
14142,62,100000,12480
2053591,55,100000,75
2987,62,100000,47205
46560,59,100000,3687
34706,22,100000,634
273,7,100000,7439
2104,52,100000,47209
454371491,23,100000,0
6666,61,100000,24173
5022,67,100000,35752
882,63,100000,89624
357,53,100000,98323
634402,85,100000,533
121,62,100000,100000
2906,7,100000,685
14307,61,100000,11990
503687321,19,100000,0
13733,48,100000,8000
224,9,100000,15073
26993711,63,100000,9
1032,29,100000,32608
2534,22,100000,8694
138,12,100000,38841
140365930,90,100000,4
16190,88,100000,21249
143288619,33,100000,0
1836,73,100000,76521
126622757,28,100000,0
11632,17,100000,1159
29,89,100000,100000
15291,30,100000,2781
762,19,100000,20095
541,19,100000,27469
3533,36,100000,16394
3025589822,39,100000,0
7,16,100000,100000
954,56,100000,80635
1014987376,23,100000,0
97255,76,100000,2926
430,78,100000,99942
6864,87,100000,41993
42649,57,100000,3681
497,47,100000,89441
2131376828,94,100000,1
1177238,4,100000,0
319,73,100000,99986
2850,82,100000,68692
2462125363,50,100000,0
10945,26,100000,2919
308400,16,100000,37
9,78,100000,100000
101,53,100000,100000
41008,38,100000,1652
1532711507,15,100000,0
2254,97,100000,87741
42649,16,100000,272
1770558742,59,100000,1
4981538,16,100000,0
9633035,21,100000,3
53906,17,100000,240
5898,26,100000,5304
172,76,100000,100000
18247896,76,100000,16
313,66,100000,99942
9281,66,100000,20762
7495,87,100000,39247
1073,85,100000,96753
273,65,100000,99979
39437,93,100000,10280
12592530,85,100000,36
531,72,100000,99334
20,79,100000,100000
917,60,100000,86127
2147,18,100000,6950
147,36,100000,99053
74398,72,100000,3398
102,18,100000,79774
43362303,51,100000,2
1057695407,94,100000,0
8427,89,100000,37699
1470823094,48,100000,0
278205,98,100000,1720
992,23,100000,22706
584204,92,100000,700
1741462,3,100000,0
252,40,100000,96240
4511,89,100000,58295
300892455,37,100000,1
1052,11,100000,5163
77,57,100000,100000
226394,98,100000,2087
35075,44,100000,2668
4329,16,100000,2769
1466,60,100000,70693
35,86,100000,100000
119031470,8,100000,0
307157615,88,100000,3
2822,40,100000,24245
7522518,24,100000,0
917,50,100000,74209
8593,56,100000,16536
408,94,100000,99998
271432191,26,100000,0
24449,91,100000,15566
35,47,100000,100000
204227,91,100000,1962
1601,86,100000,90255
1019094,86,100000,362
2367,44,100000,33422
4090,10,100000,1072
24677,22,100000,917
2087902676,24,100000,0
47017,4,100000,14
1705941,52,100000,65
1083,8,100000,2533
954136861,79,100000,0
3431,92,100000,70911
162,91,100000,100000
30295,65,100000,6400
52199007,10,100000,0
26682,13,100000,312
66,45,100000,100000
288742904,38,100000,0
23501,83,100000,13366
40927,74,100000,6331
207,28,100000,85267
5544,6,100000,271
14,84,100000,100000
38674,69,100000,5826
381,52,100000,97379
348991,16,100000,33
9023,83,100000,31297
4973,57,100000,27575
661096,51,100000,179
8201,90,100000,38870
792612239,66,100000,0
240,41,100000,97327
110056,52,100000,1231
2085,38,100000,28695
1370,24,100000,18293
24857797,12,100000,0
720,74,100000,97973
446904,6,100000,4
58859,70,100000,3942
262,93,100000,100000
8338985,26,100000,3
1160,6,100000,1316
5071,50,100000,21446
199256051,62,100000,0
3285564565,43,100000,0
1094,14,100000,7997
18627852,29,100000,2
74098950,11,100000,0
251,42,100000,97280
5874398,9,100000,1
41,49,100000,100000
3051,95,100000,77223
658,62,100000,94765
732849,6,100000,2
3178,18,100000,4795
633,80,100000,99506
20733,89,100000,17507
41410,77,100000,6829
4037475450,56,100000,0
439,95,100000,99998
345,23,100000,52972
430,58,100000,98196
25164,44,100000,3756
57160,98,100000,7916
1206,5,100000,850
2485,8,100000,1124
936,3,100000,340
5431,79,100000,43403
2767,95,100000,80505
18772,95,100000,21285
1705941,25,100000,15
45369,45,100000,2156
732849,56,100000,236
1247270151,66,100000,0
75641832,23,100000,1
2684502,75,100000,97
320082009,98,100000,2
6785992,62,100000,34
20902,19,100000,794
7247,29,100000,5471
174,98,100000,100000
212,45,100000,99332
3050,9,100000,1178
1818,28,100000,19012
338,63,100000,99793
54,18,100000,95976
22163,43,100000,3884
6348,15,100000,1654
2740,74,100000,62881
1062,96,100000,98849
1292,49,100000,60231
50293,50,100000,2370
540,11,100000,9574
436024705,67,100000,0
1947,82,100000,82284
12854731,23,100000,4
54395405,52,100000,1
152426916,34,100000,0
1665,84,100000,88194
55509,81,100000,5654
745093556,8,100000,0
5,78,100000,100000
1784,81,100000,83997
6121578,12,100000,5
445,3,100000,678
11407,97,100000,33716
936,88,100000,98574
9475,58,100000,16033
313,69,100000,99967
43,77,100000,100000
149,64,100000,100000
6474,90,100000,46216
7679152,48,100000,16
808,35,100000,53061
27667,73,100000,9150
1382644319,22,100000,0
809115951,14,100000,0
216,38,100000,96766
1872,53,100000,52506
65,12,100000,65983
47,62,100000,100000
6348,83,100000,41947
11837583,87,100000,26
7569,94,100000,44347
125,41,100000,99946
848,19,100000,18266
3367547,59,100000,61
1283,36,100000,39002
146,48,100000,99991
64,45,100000,100000
378978,33,100000,156
9757,57,100000,15292
159,32,100000,96510
9,97,100000,100000
137502856,77,100000,3
313553227,83,100000,0
1807425182,12,100000,0
336,87,100000,99999
114225172,72,100000,3
295947,55,100000,475
143,97,100000,100000
1532711507,64,100000,0
1664410218,41,100000,0
9281,63,100000,18998
140933,66,100000,1480
56604,99,100000,8041
83851722,43,100000,1
5430,92,100000,54241
93328,43,100000,986
109,26,100000,96155
1177238,45,100000,81
4380,68,100000,40681
10863,68,100000,18929
19411664,65,100000,7
11187,99,100000,35324
1153225,37,100000,52
369752557,55,100000,0
420,47,100000,93020
5409579,36,100000,9
14307,34,100000,3937
105186950,49,100000,2
20649652,47,100000,9
1226773,73,100000,203
17532,89,100000,19795
3235,39,100000,20479
621462,79,100000,496
1898,85,100000,85370
2087902676,90,100000,0
584204,12,100000,6
262,49,100000,99162
12952,25,100000,2257
1510,77,100000,85953
245847,41,100000,314
89560,81,100000,3520
1681,72,100000,78616
289911,75,100000,909
63024,20,100000,291
9475,46,100000,10518
1354442226,88,100000,2
13674547,25,100000,0
8184,67,100000,23730
29313154,50,100000,2
2064,25,100000,13611
127135,62,100000,1504
8372,53,100000,15351
3656905,20,100000,7
882,7,100000,2412
152426916,60,100000,0
5212,30,100000,7937
24958,21,100000,818
1770558742,95,100000,0
271432191,18,100000,0
1664410218,79,100000,1
15158733,68,100000,16
30001,21,100000,683
124040005,65,100000,0
10900918,65,100000,24
10503,24,100000,2584
621,30,100000,50856
355,78,100000,99991
8547,35,100000,6776
52410,34,100000,1078
1671144,13,100000,6
60543,73,100000,4225
28018,50,100000,4366
2906,83,100000,69540
1052,32,100000,37918
27,60,100000,100000
300892455,74,100000,0
80791,50,100000,1544
4510,96,100000,64153
57721,32,100000,857
430,97,100000,99999
1105,92,100000,97951
95272,29,100000,417
11837583,13,100000,0
6,77,100000,100000
957997,28,100000,30
2005,81,100000,80387
1153225,24,100000,29
4644,87,100000,55435
2232,62,100000,57409
260,9,100000,13080
10038368,94,100000,41
11,36,100000,100000
110056,20,100000,189
719,55,100000,87871
47944,14,100000,185
1305011,98,100000,361
278,41,100000,95576
1278392,56,100000,137
1254,14,100000,7063
6105,82,100000,42080
23367523,47,100000,4
9833613,26,100000,5
31502,43,100000,2895
186,51,100000,99947
1105,26,100000,25869
232,23,100000,67195
238,28,100000,80755
77529,8,100000,29
1481,32,100000,28489
30,6,100000,41243
1014987376,58,100000,0
89199404,70,100000,5
43483,72,100000,5742
112348,28,100000,364
10247386,83,100000,42
9672,13,100000,779
65745,4,100000,8
3523,35,100000,15505
9201,84,100000,31838
75641832,14,100000,0
584204,46,100000,193
2024,31,100000,20730
28571,28,100000,1397
8547,98,100000,42895
7068,91,100000,44156
2232,53,100000,46551
3748,12,100000,1824
28831,74,100000,9027
66843950,85,100000,6
2184559,50,100000,64
3267,38,100000,19340
69656570,38,100000,0
146864,12,100000,53
1022,42,100000,57559
923,84,100000,97942
4511,79,100000,49861
328068,46,100000,346
6864,25,100000,4190
256191,75,100000,1090
230176744,55,100000,0
10550,56,100000,13565
119513,88,100000,3199
184232,38,100000,383
14015,56,100000,10382
212,76,100000,100000
12455,38,100000,5501
162148013,45,100000,1
52350,92,100000,7732
67,5,100000,14238
4879929,77,100000,46
53285891,65,100000,0
161,50,100000,99982
51337,97,100000,8589
24350767,75,100000,7
2559,3,100000,104
74398,36,100000,801
2975868,34,100000,15
24857797,22,100000,0
129782,33,100000,391
40762647,34,100000,3
393333696,15,100000,0
380,91,100000,100000
10247386,47,100000,20
1040313,74,100000,254
7569,76,100000,31582
381,79,100000,99986
340495385,14,100000,0
2381,89,100000,81163
1891098,67,100000,114
6046,71,100000,33801
2232,68,100000,64417
31502,7,100000,62
3037832,36,100000,25
8034,87,100000,37464
2740399,38,100000,28
860717692,11,100000,0
1061975,30,100000,38
5871,86,100000,46097
441,31,100000,66029
17,74,100000,100000
4599,80,100000,50166
3081,63,100000,47411
860717692,92,100000,0
338,78,100000,99996
11359600,89,100000,39
49370,30,100000,888
11519,35,100000,5114
1970670,74,100000,147
37557,91,100000,10237
809115951,56,100000,0
28715247,18,100000,0
24,75,100000,100000
2906,56,100000,41201
51134293,22,100000,1
41,39,100000,100000
42,6,100000,31162
3582314,92,100000,124
9662,67,100000,20474
64144900,79,100000,6
1545,27,100000,20614
161,31,100000,95517
6666,40,100000,11165
2011703,96,100000,225
49,86,100000,100000
507,69,100000,99234
221776,69,100000,996
34734,84,100000,9659
16534,81,100000,17733
792,50,100000,79526
627,72,100000,98491
1482,87,100000,92268
16527,29,100000,2392
20228457,37,100000,4
658,65,100000,96259
1532711507,44,100000,0
36021554,13,100000,0
1326815376,8,100000,0
17581,11,100000,317
2794,95,100000,80195
50091295,22,100000,0
11632,46,100000,8530
1171,38,100000,45662
33,39,100000,100000
919315,53,100000,146
3710,85,100000,61854
93328,32,100000,508
16534,50,100000,7005
4011,87,100000,60694
6287,9,100000,619
4682885,29,100000,12
142,94,100000,100000
1476774,3,100000,0
17025,40,100000,4444
6121578,78,100000,56
169,30,100000,93527
32757,5,100000,36
191984,43,100000,479
22423980,32,100000,2
179,21,100000,70295
4423,13,100000,1716
265895731,75,100000,1
38298,46,100000,2646
427131015,39,100000,0
1182,77,100000,92052
3397,36,100000,16971
68511,93,100000,5955
904,68,100000,92497
27746,47,100000,3808
745093556,41,100000,0
153,37,100000,99149
672141736,62,100000,0
755,73,100000,97239
47478,29,100000,886
7679152,30,100000,5
255,75,100000,100000
9201,34,100000,5868
11862,87,100000,26999
1860,65,100000,67686
3509245,63,100000,57
1807425182,47,100000,0
825963302,77,100000,0
1540,67,100000,77025
22,68,100000,100000
